user,trace_no,time_slot,time_instant,poi_index,category,loglikeli
0,0,0,0,104,-,-5.756806
0,0,1,0,257,-,-15.085609
0,0,2,0,173,-,-18.739891
0,0,3,0,173,-,-19.430983
0,0,4,0,173,-,-20.087753
0,0,5,0,114,-,-25.988589
0,0,6,0,114,-,-26.304554
0,0,7,0,114,-,-26.634633
0,0,8,0,155,-,-30.035562
0,0,9,0,194,-,-35.929498
0,0,10,0,195,-,-38.918660
0,0,11,0,197,-,-44.462420
0,0,12,0,197,-,-44.809104
0,0,13,0,197,-,-45.156831
0,0,14,0,197,-,-45.487675
0,0,15,0,197,-,-45.831370
0,0,16,0,197,-,-46.156382
0,0,17,0,197,-,-46.485556
0,0,18,0,197,-,-46.822997
0,0,19,0,197,-,-47.163602
0,0,20,0,155,-,-50.335557
0,0,21,0,155,-,-50.620982
0,0,22,0,155,-,-50.901953
0,0,23,0,155,-,-51.195053
0,0,24,0,155,-,-51.515197
0,0,25,0,30,-,-55.492231
0,0,26,0,30,-,-56.045330
0,0,27,0,73,-,-59.652311
0,0,28,0,73,-,-59.971593
0,0,29,0,193,-,-65.019808
0,1,0,0,113,-,-4.915707
0,1,1,0,75,-,-8.063714
0,1,2,0,75,-,-8.642504
0,1,3,0,75,-,-9.263044
0,1,4,0,239,-,-12.723751
0,1,5,0,239,-,-13.273130
0,1,6,0,91,-,-16.594521
0,1,7,0,91,-,-17.086607
0,1,8,0,94,-,-20.467868
0,1,9,0,94,-,-20.765862
0,1,10,0,94,-,-21.059894
0,1,11,0,94,-,-21.348603
0,1,12,0,94,-,-21.655971
0,1,13,0,113,-,-25.800277
0,1,14,0,113,-,-26.670278
0,1,15,0,113,-,-27.540629
0,1,16,0,113,-,-28.464424
0,1,17,0,113,-,-29.378196
0,1,18,0,73,-,-32.799393
0,1,19,0,73,-,-33.132730
0,1,20,0,73,-,-33.485241
0,1,21,0,73,-,-33.837510
0,1,22,0,73,-,-34.202439
0,1,23,0,73,-,-34.530584
0,1,24,0,113,-,-38.976002
0,1,25,0,153,-,-41.881333
0,1,26,0,153,-,-42.396859
0,1,27,0,153,-,-42.930783
0,1,28,0,153,-,-43.449090
0,1,29,0,75,-,-47.237856
0,2,0,0,326,-,-4.313348
0,2,1,0,326,-,-4.470110
0,2,2,0,326,-,-4.614984
0,2,3,0,326,-,-4.750130
0,2,4,0,326,-,-4.889845
0,2,5,0,26,-,-9.437173
0,2,6,0,26,-,-9.915950
0,2,7,0,26,-,-10.451237
0,2,8,0,26,-,-10.948901
0,2,9,0,26,-,-11.418975
0,2,10,0,325,-,-16.754692
0,2,11,0,325,-,-17.066391
0,2,12,0,325,-,-17.377624
0,2,13,0,325,-,-17.705091
0,2,14,0,181,-,-21.419920
0,2,15,0,26,-,-24.516717
0,2,16,0,26,-,-25.039159
0,2,17,0,162,-,-28.067018
0,2,18,0,326,-,-32.440324
0,2,19,0,326,-,-32.572323
0,2,20,0,326,-,-32.706637
0,2,21,0,326,-,-32.840913
0,2,22,0,326,-,-32.972402
0,2,23,0,326,-,-33.102750
0,2,24,0,326,-,-33.242384
0,2,25,0,326,-,-33.375379
0,2,26,0,326,-,-33.503984
0,2,27,0,326,-,-33.639103
0,2,28,0,231,-,-40.681132
0,2,29,0,231,-,-41.587994
0,3,0,0,252,-,-4.878709
0,3,1,0,252,-,-5.796757
0,3,2,0,252,-,-6.676620
0,3,3,0,176,-,-11.423936
0,3,4,0,308,-,-18.618859
0,3,5,0,308,-,-19.345412
0,3,6,0,308,-,-20.113128
0,3,7,0,308,-,-20.778885
0,3,8,0,308,-,-21.506821
0,3,9,0,308,-,-22.305863
0,3,10,0,289,-,-26.284468
0,3,11,0,289,-,-26.898561
0,3,12,0,289,-,-27.481719
0,3,13,0,195,-,-30.132985
0,3,14,0,250,-,-34.128774
0,3,15,0,250,-,-34.836608
0,3,16,0,250,-,-35.587689
