user,trace_no,time_slot,time_instant,poi_index,category,loglikeli
0,0,0,0,42,-,-3.524505
0,0,1,0,356,-,-7.483616
0,0,2,0,42,-,-11.206662
0,0,3,0,42,-,-11.656785
0,0,4,0,42,-,-12.049013
0,0,5,0,42,-,-12.393020
0,0,6,0,42,-,-12.745526
0,0,7,0,42,-,-13.117412
0,0,8,0,274,-,-16.335326
0,0,9,0,295,-,-19.104001
0,0,10,0,295,-,-19.561985
0,0,11,0,295,-,-19.982479
0,0,12,0,295,-,-20.418064
0,0,13,0,295,-,-20.846335
0,0,14,0,274,-,-23.634212
0,0,15,0,274,-,-24.031951
0,0,16,0,274,-,-24.460330
0,0,17,0,274,-,-24.883368
0,0,18,0,274,-,-25.303098
0,0,19,0,274,-,-25.740607
0,0,20,0,236,-,-28.230924
0,0,21,0,236,-,-28.562861
0,0,22,0,236,-,-28.891394
0,0,23,0,236,-,-29.250625
0,0,24,0,236,-,-29.596967
0,0,25,0,42,-,-32.842801
0,0,26,0,42,-,-33.247318
0,0,27,0,81,-,-37.213768
0,0,28,0,81,-,-38.827143
0,0,29,0,316,-,-41.788344
0,1,0,0,42,-,-3.524505
0,1,1,0,42,-,-3.890053
0,1,2,0,42,-,-4.262881
0,1,3,0,42,-,-4.713003
0,1,4,0,356,-,-8.672113
0,1,5,0,356,-,-8.910074
0,1,6,0,295,-,-12.582010
0,1,7,0,295,-,-13.015137
0,1,8,0,295,-,-13.437772
0,1,9,0,295,-,-13.885723
0,1,10,0,236,-,-16.321612
0,1,11,0,236,-,-16.652505
0,1,12,0,236,-,-16.965141
0,1,13,0,277,-,-23.800835
0,1,14,0,277,-,-23.983138
0,1,15,0,277,-,-24.164764
0,1,16,0,277,-,-24.350350
0,1,17,0,277,-,-24.542015
0,1,18,0,256,-,-28.161428
0,1,19,0,256,-,-28.476705
0,1,20,0,235,-,-31.597012
0,1,21,0,235,-,-31.835599
0,1,22,0,235,-,-32.064844
0,1,23,0,235,-,-32.296192
0,1,24,0,235,-,-32.536750
0,1,25,0,235,-,-32.773013
0,1,26,0,235,-,-33.025599
0,1,27,0,235,-,-33.278391
0,1,28,0,235,-,-33.539563
0,1,29,0,235,-,-33.795281
0,2,0,0,317,-,-6.295175
0,2,1,0,317,-,-6.556974
0,2,2,0,317,-,-6.882555
0,2,3,0,317,-,-7.299054
0,2,4,0,317,-,-7.622597
0,2,5,0,2,-,-10.963995
0,2,6,0,2,-,-11.317031
0,2,7,0,2,-,-11.597589
0,2,8,0,2,-,-11.871661
0,2,9,0,2,-,-12.169435
0,2,10,0,292,-,-15.387172
0,2,11,0,292,-,-15.830494
0,2,12,0,292,-,-16.275281
0,2,13,0,292,-,-16.736770
0,2,14,0,74,-,-18.832206
0,2,15,0,2,-,-21.854522
0,2,16,0,2,-,-22.155722
0,2,17,0,2,-,-22.471990
0,2,18,0,292,-,-25.691236
0,2,19,0,292,-,-26.120246
0,2,20,0,254,-,-29.652875
0,2,21,0,254,-,-29.824954
0,2,22,0,254,-,-30.026431
0,2,23,0,254,-,-30.237216
0,2,24,0,254,-,-30.438068
0,2,25,0,254,-,-30.681285
0,2,26,0,254,-,-30.895864
0,2,27,0,254,-,-31.139990
0,2,28,0,74,-,-34.390729
0,2,29,0,74,-,-34.770553
0,3,0,0,163,-,-3.294396
0,3,1,0,163,-,-3.702209
0,3,2,0,163,-,-4.086264
0,3,3,0,163,-,-4.465452
0,3,4,0,277,-,-12.202095
0,3,5,0,277,-,-12.381059
0,3,6,0,277,-,-12.562828
0,3,7,0,277,-,-12.719173
0,3,8,0,277,-,-12.885783
0,3,9,0,277,-,-13.062232
0,3,10,0,277,-,-13.249937
0,3,11,0,277,-,-13.435326
0,3,12,0,277,-,-13.612764
0,3,13,0,235,-,-17.230233
0,3,14,0,235,-,-17.473954
0,3,15,0,235,-,-17.721683
0,3,16,0,235,-,-17.972082
0,3,17,0,235,-,-18.220043
0,3,18,0,235,-,-18.448753
0,3,19,0,235,-,-18.688374
0,3,20,0,235,-,-18.915040
0,3,21,0,235,-,-19.153626
0,3,22,0,277,-,-22.995724
0,3,23,0,256,-,-26.798586
0,3,24,0,256,-,-27.112724
0,3,25,0,256,-,-27.427418
0,3,26,0,256,-,-27.758787
0,3,27,0,256,-,-28.086290
0,3,28,0,256,-,-28.421516
0,3,29,0,256,-,-28.750101
0,4,0,0,336,-,-5.296714
0,4,1,0,336,-,-5.681337
0,4,2,0,336,-,-6.086380
0,4,3,0,336,-,-6.520611
0,4,4,0,233,-,-10.394334
0,4,5,0,233,-,-10.504496
0,4,6,0,233,-,-10.622855
0,4,7,0,233,-,-10.738354
0,4,8,0,233,-,-10.852873
0,4,9,0,233,-,-10.975524
0,4,10,0,233,-,-11.094203
0,4,11,0,233,-,-11.201096
0,4,12,0,233,-,-11.323680
0,4,13,0,233,-,-11.445768
0,4,14,0,233,-,-11.557703
0,4,15,0,233,-,-11.673902
0,4,16,0,233,-,-11.781742
0,4,17,0,233,-,-11.890753
0,4,18,0,233,-,-11.996903
0,4,19,0,233,-,-12.125422
0,4,20,0,233,-,-12.229910
0,4,21,0,233,-,-12.338649
0,4,22,0,233,-,-12.445548
0,4,23,0,233,-,-12.553729
0,4,24,0,233,-,-12.676927
0,4,25,0,233,-,-12.795389
0,4,26,0,270,-,-19.334101
0,4,27,0,270,-,-19.645440
0,4,28,0,270,-,-19.959021
0,4,29,0,270,-,-20.278555
0,5,0,0,137,-,-3.952341
0,5,1,0,137,-,-4.172528
0,5,2,0,137,-,-4.401003
0,5,3,0,32,-,-8.173162
0,5,4,0,32,-,-8.378928
0,5,5,0,32,-,-8.571749
0,5,6,0,163,-,-12.100497
0,5,7,0,54,-,-15.840639
0,5,8,0,54,-,-16.329122
0,5,9,0,54,-,-16.808674
0,5,10,0,54,-,-17.295947
0,5,11,0,54,-,-17.787290
0,5,12,0,54,-,-18.269870
0,5,13,0,54,-,-18.757101
0,5,14,0,54,-,-19.238030
0,5,15,0,54,-,-19.723894
0,5,16,0,54,-,-20.196404
0,5,17,0,163,-,-22.724980
0,5,18,0,52,-,-26.288842
0,5,19,0,52,-,-26.553235
0,5,20,0,158,-,-30.976545
0,5,21,0,94,-,-35.248620
0,5,22,0,94,-,-35.354624
0,5,23,0,94,-,-35.460100
0,5,24,0,94,-,-35.567330
0,5,25,0,94,-,-35.673871
0,5,26,0,32,-,-40.310941
0,5,27,0,32,-,-40.519484
0,5,28,0,32,-,-40.718640
0,5,29,0,163,-,-44.227782
0,6,0,0,136,-,-3.233865
0,6,1,0,137,-,-7.799817
0,6,2,0,137,-,-8.028291
